genus	class	phylum
Nisaea	Alphaproteobacteria	Pseudomonadota
Oceanobacter	Gammaproteobacteria	Pseudomonadota
Oceanospirillum	Gammaproteobacteria	Pseudomonadota
Ottowia	Betaproteobacteria	Pseudomonadota
Pedobacter	Sphingobacteriia	Bacteroidota
Pelobacter	Desulfuromonadia	Thermodesulfobacteriota
Pleomorphomonas	Alphaproteobacteria	Pseudomonadota
Chlorogloeopsis	Cyanophyceae	Cyanobacteriota
Pseudogulbenkiania	Betaproteobacteria	Pseudomonadota
Pseudonocardia	Actinomycetes	Actinomycetota
Pseudoxanthobacter	Alphaproteobacteria	Pseudomonadota
Telmatocola	Planctomycetia	Planctomycetota
Arsukibacterium	Gammaproteobacteria	Pseudomonadota
Rheinheimera	Gammaproteobacteria	Pseudomonadota
Falsiroseomonas	Alphaproteobacteria	Pseudomonadota
Rubellimicrobium	Alphaproteobacteria	Pseudomonadota
Rubritepida	Alphaproteobacteria	Pseudomonadota
Rudaea	Gammaproteobacteria	Pseudomonadota
Saccharospirillum	Gammaproteobacteria	Pseudomonadota
Salinarimonas	Alphaproteobacteria	Pseudomonadota
Salinimonas	Gammaproteobacteria	Pseudomonadota
Sandarakinorhabdus	Alphaproteobacteria	Pseudomonadota
Schlesneria	Planctomycetia	Planctomycetota
Sciscionella	Actinomycetes	Actinomycetota
Sediminimonas	Alphaproteobacteria	Pseudomonadota
Segetibacter	Chitinophagia	Bacteroidota
Silanimonas	Gammaproteobacteria	Pseudomonadota
Simplicispira	Betaproteobacteria	Pseudomonadota
Solimonas	Gammaproteobacteria	Pseudomonadota
Sediminispirochaeta	Spirochaetia	Spirochaetota
Sporobacter	Clostridia	Bacillota
Stappia	Alphaproteobacteria	Pseudomonadota
Stenoxybacter	Betaproteobacteria	Pseudomonadota
Streptococcus	Bacilli	Bacillota
Sulfurihydrogenibium	Aquificae	Aquificota
Tepidiphilus	Hydrogenophilia	Pseudomonadota
Terasakiella	Alphaproteobacteria	Pseudomonadota
Terrimonas	Chitinophagia	Bacteroidota
Litoreibacter	Alphaproteobacteria	Pseudomonadota
Thermithiobacillus	Acidithiobacillia	Pseudomonadota
Thiobacillus	Betaproteobacteria	Pseudomonadota
Thiohalospira	Gammaproteobacteria	Pseudomonadota
Thiofilum	Gammaproteobacteria	Pseudomonadota
Uliginosibacterium	Betaproteobacteria	Pseudomonadota
Vibrio	Gammaproteobacteria	Pseudomonadota
Xenophilus	Betaproteobacteria	Pseudomonadota
Zavarzinella	Planctomycetia	Planctomycetota
Propionispira	Negativicutes	Bacillota
Thiomicrorhabdus	Gammaproteobacteria	Pseudomonadota
Microcystis	Cyanophyceae	Cyanobacteriota
Deferrisoma	Deferrisomatia	Thermodesulfobacteriota
Halpernia	Flavobacteriia	Bacteroidota
Limimaricola	Alphaproteobacteria	Pseudomonadota
Polycladomyces	Bacilli	Bacillota
Escherichia	Gammaproteobacteria	Pseudomonadota
Saccharomonospora	Actinomycetes	Actinomycetota
Synechococcus	Cyanophyceae	Cyanobacteriota
Sporomusa	Negativicutes	Bacillota
Kyrpidia	Bacilli	Bacillota
Neochlamydia	Chlamydiia	Chlamydiota
Nitrolancea	Thermomicrobia	Thermomicrobiota
Gemmata	Planctomycetia	Planctomycetota
NA	NA	NA
Methylomonas	Gammaproteobacteria	Pseudomonadota
Chromatocurvus	Gammaproteobacteria	Pseudomonadota
Methylosarcina	Gammaproteobacteria	Pseudomonadota
Methylocystis	Alphaproteobacteria	Pseudomonadota
Plasticicumulans	Gammaproteobacteria	Pseudomonadota
Bacteroides	Bacteroidia	Bacteroidota
Hansschlegelia	Alphaproteobacteria	Pseudomonadota
Marinicauda	Alphaproteobacteria	Pseudomonadota
Verrucomicrobium	Verrucomicrobiae	Verrucomicrobiota
NA	NA	Ignavibacteriota
Thauera	Betaproteobacteria	Pseudomonadota
Polaribacter	Flavobacteriia	Bacteroidota
Allokutzneria	Actinomycetes	Actinomycetota
Chryseobacterium	Flavobacteriia	Bacteroidota
Synechocystis	Cyanophyceae	Cyanobacteriota
Rickettsia	Alphaproteobacteria	Pseudomonadota
Thalassotalea	Gammaproteobacteria	Pseudomonadota
Caulobacter	Alphaproteobacteria	Pseudomonadota
Acidovorax	Betaproteobacteria	Pseudomonadota
Polaromonas	Betaproteobacteria	Pseudomonadota
Micromonospora	Actinomycetes	Actinomycetota
Luteolibacter	Verrucomicrobiae	Verrucomicrobiota
Paludibacterium	Betaproteobacteria	Pseudomonadota
Alkaliphilus	Clostridia	Bacillota
Blastococcus	Actinomycetes	Actinomycetota
Phyllobacterium	Alphaproteobacteria	Pseudomonadota
NA	Cyanophyceae	Cyanobacteriota
Pararhodospirillum	Alphaproteobacteria	Pseudomonadota
Arcticibacter	Sphingobacteriia	Bacteroidota
Tsukamurella	Actinomycetes	Actinomycetota
Pseudanabaena	Cyanophyceae	Cyanobacteriota
Spirulina	Cyanophyceae	Cyanobacteriota
Moorena	Cyanophyceae	Cyanobacteriota
Desulfotignum	Desulfobacteria	Thermodesulfobacteriota
Trichlorobacter	Desulfuromonadia	Thermodesulfobacteriota
Chlorobaculum	Chlorobiia	Chlorobiota
Paenimyroides	Flavobacteriia	Bacteroidota
Niallia	Bacilli	Bacillota
Planktothrix	Cyanophyceae	Cyanobacteriota
Ruminococcus	Clostridia	Bacillota
Auritidibacter	Actinomycetes	Actinomycetota
Helcobacillus	Actinomycetes	Actinomycetota
Euryhalocaulis	Alphaproteobacteria	Pseudomonadota
Maritimibacter	Alphaproteobacteria	Pseudomonadota
Angustibacter	Actinomycetes	Actinomycetota
Cohaesibacter	Alphaproteobacteria	Pseudomonadota
Sulfuricella	Betaproteobacteria	Pseudomonadota
Mycetocola	Actinomycetes	Actinomycetota
Melaminivora	Betaproteobacteria	Pseudomonadota
Fibrella	Cytophagia	Bacteroidota
Pseudomaricurvus	Gammaproteobacteria	Pseudomonadota
Thiodictyon	Gammaproteobacteria	Pseudomonadota
Desulfocapsa	Desulfobulbia	Thermodesulfobacteriota
Draconibacterium	Bacteroidia	Bacteroidota
Tangfeifania	Bacteroidia	Bacteroidota
Marinilabilia	Bacteroidia	Bacteroidota
Azomonas	Gammaproteobacteria	Pseudomonadota
Vulcaniibacterium	Gammaproteobacteria	Pseudomonadota
Caldicoprobacter	Clostridia	Bacillota
Candidatus Methylomirabilis	NA	candidate division NC10
Calothrix	Cyanophyceae	Cyanobacteriota
Cylindrospermopsis	Cyanophyceae	Cyanobacteriota
Promicromonospora	Actinomycetes	Actinomycetota
Terracoccus	Actinomycetes	Actinomycetota
Hydrocarboniphaga	Gammaproteobacteria	Pseudomonadota
Conyzicola	Actinomycetes	Actinomycetota
Chamaesiphon	Cyanophyceae	Cyanobacteriota
Crinalium	Cyanophyceae	Cyanobacteriota
Fischerella	Cyanophyceae	Cyanobacteriota
Geitlerinema	Cyanophyceae	Cyanobacteriota
Gloeocapsa	Cyanophyceae	Cyanobacteriota
Allocoleopsis	Cyanophyceae	Cyanobacteriota
Lihuaxuella	Bacilli	Bacillota
Ruegeria	Alphaproteobacteria	Pseudomonadota
Parvularcula	Alphaproteobacteria	Pseudomonadota
Aphanizomenon	Cyanophyceae	Cyanobacteriota
Kocuria	Actinomycetes	Actinomycetota
Sphingosinicella	Alphaproteobacteria	Pseudomonadota
Planomicrobium	Bacilli	Bacillota
Agrobacterium	Alphaproteobacteria	Pseudomonadota
Nostoc	Cyanophyceae	Cyanobacteriota
Alcanivorax	Gammaproteobacteria	Pseudomonadota
Methyloligella	Alphaproteobacteria	Pseudomonadota
Thalassospira	Alphaproteobacteria	Pseudomonadota
Paracidovorax	Betaproteobacteria	Pseudomonadota
Endobacter	Alphaproteobacteria	Pseudomonadota
Pleurocapsa	Cyanophyceae	Cyanobacteriota
Nodosilinea	Cyanophyceae	Cyanobacteriota
Coleofasciculus	Cyanophyceae	Cyanobacteriota
Modestobacter	Actinomycetes	Actinomycetota
Saccharopolyspora	Actinomycetes	Actinomycetota
Myroides	Flavobacteriia	Bacteroidota
Gloeobacter	Cyanophyceae	Cyanobacteriota
Pseudobdellovibrio	Bdellovibrionia	Bdellovibrionota
Vallitalea	Clostridia	Bacillota
Mycobacteroides	Actinomycetes	Actinomycetota
Desulfatitalea	Desulfobacteria	Thermodesulfobacteriota
Desertifilum	Cyanophyceae	Cyanobacteriota
Rhodovulum	Alphaproteobacteria	Pseudomonadota
Mariprofundus	Zetaproteobacteria	Pseudomonadota
Ferriphaselus	Betaproteobacteria	Pseudomonadota
Paraburkholderia	Betaproteobacteria	Pseudomonadota
Corallococcus	Myxococcia	Myxococcota
NA	Alphaproteobacteria	Pseudomonadota
Filomicrobium	Alphaproteobacteria	Pseudomonadota
NA	Betaproteobacteria	Pseudomonadota
Calidifontibacillus	Bacilli	Bacillota
Chondromyces	NA	Myxococcota
Vogesella	Betaproteobacteria	Pseudomonadota
Granulosicoccus	Gammaproteobacteria	Pseudomonadota
Roseibacterium	Alphaproteobacteria	Pseudomonadota
Tetrasphaera	Actinomycetes	Actinomycetota
Gilliamella	Gammaproteobacteria	Pseudomonadota
Snodgrassella	Betaproteobacteria	Pseudomonadota
Niveibacterium	Betaproteobacteria	Pseudomonadota
Rhodobaca	Alphaproteobacteria	Pseudomonadota
Rubrivirga	Rhodothermia	Rhodothermota
Nannocystis	NA	Myxococcota
Chromohalobacter	Gammaproteobacteria	Pseudomonadota
Acidithiobacillus	Acidithiobacillia	Pseudomonadota
Falsiruegeria	Alphaproteobacteria	Pseudomonadota
Subtercola	Actinomycetes	Actinomycetota
Paenalcaligenes	Betaproteobacteria	Pseudomonadota
Litorilinea	Caldilineae	Chloroflexota
Phocaeicola	Bacteroidia	Bacteroidota
Reyranella	Alphaproteobacteria	Pseudomonadota
Jatrophihabitans	Actinomycetes	Actinomycetota
Puniceibacterium	Alphaproteobacteria	Pseudomonadota
Hyphomonas	Alphaproteobacteria	Pseudomonadota
Piscicoccus	Actinomycetes	Actinomycetota
Celeribacter	Alphaproteobacteria	Pseudomonadota
Photorhabdus	Gammaproteobacteria	Pseudomonadota
