sample	phylum	superkingdom	taxonReads
201118_A00902_B_L1-2_APMG_19_8	Chlorophyta	Eukaryota	43
201118_A00902_B_L1-2_APMG_19_9	Chlorophyta	Eukaryota	46
210810_A00902_B_L001_APMG-37-1	Chlorophyta	Eukaryota	36
210810_A00902_B_L001_APMG-37-10	Chlorophyta	Eukaryota	100
210810_A00902_B_L001_APMG-37-11	Chlorophyta	Eukaryota	56
210810_A00902_B_L001_APMG-37-2	Chlorophyta	Eukaryota	72
210810_A00902_B_L001_APMG-37-3	Chlorophyta	Eukaryota	51
210810_A00902_B_L001_APMG-37-4	Chlorophyta	Eukaryota	132
210810_A00902_B_L001_APMG-37-6	Chlorophyta	Eukaryota	62
210810_A00902_B_L001_APMG-37-7	Chlorophyta	Eukaryota	102
210810_A00902_B_L001_APMG-37-8	Chlorophyta	Eukaryota	55
210810_A00902_B_L001_APMG-37-9	Chlorophyta	Eukaryota	98
210810_A00902_B_L002_APMG-38-1	Chlorophyta	Eukaryota	25
210810_A00902_B_L002_APMG-38-10	Chlorophyta	Eukaryota	61
210810_A00902_B_L002_APMG-38-14	Chlorophyta	Eukaryota	2
210810_A00902_B_L002_APMG-38-15	Chlorophyta	Eukaryota	37
210810_A00902_B_L002_APMG-38-2	Chlorophyta	Eukaryota	33
210810_A00902_B_L002_APMG-38-3	Chlorophyta	Eukaryota	30
210810_A00902_B_L002_APMG-38-4	Chlorophyta	Eukaryota	31
210810_A00902_B_L002_APMG-38-5	Chlorophyta	Eukaryota	42
210810_A00902_B_L002_APMG-38-7	Chlorophyta	Eukaryota	137
210810_A00902_B_L002_APMG-38-8	Chlorophyta	Eukaryota	72
210810_A00902_B_L002_APMG-38-9	Chlorophyta	Eukaryota	69
BH193L-1_S22	Chlorophyta	Eukaryota	26
BH193L-2_S19	Chlorophyta	Eukaryota	52
BH193L-2_S20	Chlorophyta	Eukaryota	62
BH193L-3_S20	Chlorophyta	Eukaryota	58
BH193L-4_S23	Chlorophyta	Eukaryota	51
BH193L-5_S24	Chlorophyta	Eukaryota	28
BH194L-1_S25	Chlorophyta	Eukaryota	74
BH194L-2_S26	Chlorophyta	Eukaryota	101
BH194L-3_S25	Chlorophyta	Eukaryota	23
BH194L-4_S16	Chlorophyta	Eukaryota	44
BH194L-4_S17	Chlorophyta	Eukaryota	29
BH194L-6_S26	Chlorophyta	Eukaryota	33
BH194L-7_S17	Chlorophyta	Eukaryota	38
BH194L-7_S18	Chlorophyta	Eukaryota	30
BH195L-1_S27	Chlorophyta	Eukaryota	26
BH195L-2_S18	Chlorophyta	Eukaryota	43
BH195L-2_S19	Chlorophyta	Eukaryota	32
BH195L-3_S28	Chlorophyta	Eukaryota	35
BH195L-4_S29	Chlorophyta	Eukaryota	32
ELS162S7	Chlorophyta	Eukaryota	398
ELS163S8	Chlorophyta	Eukaryota	635
ELS165S9	Chlorophyta	Eukaryota	2774
ELS167S10	Chlorophyta	Eukaryota	3983
IE111L-1_S1	Chlorophyta	Eukaryota	755
IE111L-2_S2	Chlorophyta	Eukaryota	2241
IE111L-3_S3	Chlorophyta	Eukaryota	3265
IE111L-4_S1	Chlorophyta	Eukaryota	892
IE111L-5_S5	Chlorophyta	Eukaryota	862
IE111L-6_S6	Chlorophyta	Eukaryota	239
IE111L-7_S7	Chlorophyta	Eukaryota	393
IE111L-8_S8	Chlorophyta	Eukaryota	1
IE112L-1_S9	Chlorophyta	Eukaryota	393
IE112L-2_S10	Chlorophyta	Eukaryota	710
IE112L-3_S11	Chlorophyta	Eukaryota	1126
IE112L-4_S17	Chlorophyta	Eukaryota	3102
IE112L-5_S18	Chlorophyta	Eukaryota	2342
IE112L-6_S19	Chlorophyta	Eukaryota	921
IE112L-7_S12	Chlorophyta	Eukaryota	5618
IE113L-1_S13	Chlorophyta	Eukaryota	2272
IE113L-2_S14	Chlorophyta	Eukaryota	1034
IE113L-3_S3	Chlorophyta	Eukaryota	1312
IE113L-4_S4	Chlorophyta	Eukaryota	8503
IE113L-5_S5	Chlorophyta	Eukaryota	1159
IE113L-6_S6	Chlorophyta	Eukaryota	1619
IE113L-7_S7	Chlorophyta	Eukaryota	896
IE114L-1_S9	Chlorophyta	Eukaryota	664
IE114L-2_S10	Chlorophyta	Eukaryota	1145
IE114L-3_S11	Chlorophyta	Eukaryota	772
IE114L-6_S16	Chlorophyta	Eukaryota	1
IE115L-3_S19	Chlorophyta	Eukaryota	1
JK079L-1_S1	Chlorophyta	Eukaryota	114
JK079L-10-WDH_S10	Chlorophyta	Eukaryota	162
JK079L-11-WDH_S11	Chlorophyta	Eukaryota	70
JK079L-12-WDH_S12	Chlorophyta	Eukaryota	44
JK079L-13-WDH_S13	Chlorophyta	Eukaryota	92
JK079L-14-WDH_S14	Chlorophyta	Eukaryota	44
JK079L-2_S2	Chlorophyta	Eukaryota	109
JK079L-3_S3	Chlorophyta	Eukaryota	172
JK079L-4_S4	Chlorophyta	Eukaryota	161
JK079L-5_S5	Chlorophyta	Eukaryota	119
JK079L-6-WDH_S6	Chlorophyta	Eukaryota	143
JK079L-7-WDH_S7	Chlorophyta	Eukaryota	227
JK079L-8_S8	Chlorophyta	Eukaryota	139
JK079L-9_S9	Chlorophyta	Eukaryota	146
JK080L-1_S17	Chlorophyta	Eukaryota	27
JK080L-10_S26	Chlorophyta	Eukaryota	90
JK080L-11_S27	Chlorophyta	Eukaryota	53
JK080L-12_S28	Chlorophyta	Eukaryota	95
JK080L-13_S29	Chlorophyta	Eukaryota	51
JK080L-14_S30	Chlorophyta	Eukaryota	39
JK080L-2_S18	Chlorophyta	Eukaryota	19
JK080L-3_S19	Chlorophyta	Eukaryota	10
JK080L-4_S20	Chlorophyta	Eukaryota	47
JK080L-6_S22	Chlorophyta	Eukaryota	12
JK080L-7_S23	Chlorophyta	Eukaryota	12
JK080L-8_S24	Chlorophyta	Eukaryota	94
JK080L-9_S25	Chlorophyta	Eukaryota	154
JK081L-1_S1	Chlorophyta	Eukaryota	109
JK081L-11_S11	Chlorophyta	Eukaryota	200
JK081L-12_S12	Chlorophyta	Eukaryota	175
JK081L-13_S13	Chlorophyta	Eukaryota	77
JK081L-2_S2	Chlorophyta	Eukaryota	237
JK081L-3_S3	Chlorophyta	Eukaryota	191
JK081L-4_S4	Chlorophyta	Eukaryota	101
JK081L-6_S6	Chlorophyta	Eukaryota	108
JK081L-7_S7	Chlorophyta	Eukaryota	84
JK081L-8_S8	Chlorophyta	Eukaryota	106
JK081L-9_S9	Chlorophyta	Eukaryota	130
JK105L-6_S21	Chlorophyta	Eukaryota	159
JK109L-4_S21	Chlorophyta	Eukaryota	142
JK109L-4_S22	Chlorophyta	Eukaryota	286
JK109L-5_S30	Chlorophyta	Eukaryota	33
JK109L-6_S31	Chlorophyta	Eukaryota	34
JK109L-8_S33	Chlorophyta	Eukaryota	1
JK115L-2_S24	Chlorophyta	Eukaryota	128
JK115L-4_S23	Chlorophyta	Eukaryota	132
JK136L-2_S2	Chlorophyta	Eukaryota	75
JK136L-3_S3	Chlorophyta	Eukaryota	95
JK136L-4_S4	Chlorophyta	Eukaryota	465
JK136L-5_S5	Chlorophyta	Eukaryota	129
JK136L-6_S6	Chlorophyta	Eukaryota	250
JK136L-7_S7	Chlorophyta	Eukaryota	226
JK137L-1_S9	Chlorophyta	Eukaryota	158
JK137L-2_S10	Chlorophyta	Eukaryota	71
JK137L-3_S11	Chlorophyta	Eukaryota	209
JK137L-4_S12	Chlorophyta	Eukaryota	339
JK137L-5_S13	Chlorophyta	Eukaryota	164
JK137L-6_S14	Chlorophyta	Eukaryota	466
JK137L-7_S15	Chlorophyta	Eukaryota	505
JK138L-1_S17	Chlorophyta	Eukaryota	628
JK138L-2_S18	Chlorophyta	Eukaryota	551
JK138L-3_S19	Chlorophyta	Eukaryota	1218
JK138L-4_S20	Chlorophyta	Eukaryota	1532
JK138L-6_S22	Chlorophyta	Eukaryota	482
JK138L-7_S23	Chlorophyta	Eukaryota	406
